timestamp_kst,station_id,station_name,water_level_m,fw_raw,longitude,latitude,agency
2023-07-14 04:10,3011685,세종시(미호교),1.29,425.42,127.3163889,36.5825,기후에너지환경부
2023-07-14 04:20,3011635,청주시(팔결교),3.02,165.86,127.4755556,36.7141667,기후에너지환경부
2023-07-14 04:20,3011665,청주시(미호강교),3.25,323.17,127.3505556,36.6230556,기후에너지환경부
2023-07-14 04:20,3011685,세종시(미호교),1.30,429.02,127.3163889,36.5825,기후에너지환경부
2023-07-14 04:30,3011635,청주시(팔결교),3.06,169.70,127.4755556,36.7141667,기후에너지환경부
2023-07-14 04:30,3011665,청주시(미호강교),3.29,330.69,127.3505556,36.6230556,기후에너지환경부
2023-07-14 04:30,3011685,세종시(미호교),1.34,443.55,127.3163889,36.5825,기후에너지환경부
2023-07-14 04:40,3011635,청주시(팔결교),3.10,174.62,127.4755556,36.7141667,기후에너지환경부
2023-07-14 04:40,3011665,청주시(미호강교),3.34,340.16,127.3505556,36.6230556,기후에너지환경부
2023-07-14 04:40,3011685,세종시(미호교),1.36,450.87,127.3163889,36.5825,기후에너지환경부
2023-07-14 04:50,3011635,청주시(팔결교),3.15,182.19,127.4755556,36.7141667,기후에너지환경부
2023-07-14 04:50,3011665,청주시(미호강교),3.39,349.71,127.3505556,36.6230556,기후에너지환경부
2023-07-14 04:50,3011685,세종시(미호교),1.39,461.94,127.3163889,36.5825,기후에너지환경부
2023-07-14 05:00,3011635,청주시(팔결교),3.19,188.31,127.4755556,36.7141667,기후에너지환경부
2023-07-14 05:00,3011665,청주시(미호강교),3.44,359.35,127.3505556,36.6230556,기후에너지환경부
2023-07-14 05:00,3011685,세종시(미호교),1.42,473.09,127.3163889,36.5825,기후에너지환경부
2023-07-14 05:10,3011635,청주시(팔결교),3.22,192.95,127.4755556,36.7141667,기후에너지환경부
2023-07-14 05:10,3011665,청주시(미호강교),3.49,369.06,127.3505556,36.6230556,기후에너지환경부
2023-07-14 05:10,3011685,세종시(미호교),1.47,491.88,127.3163889,36.5825,기후에너지환경부
2023-07-14 05:20,3011635,청주시(팔결교),3.28,202.34,127.4755556,36.7141667,기후에너지환경부
2023-07-14 05:20,3011665,청주시(미호강교),3.54,378.86,127.3505556,36.6230556,기후에너지환경부
2023-07-14 05:20,3011685,세종시(미호교),1.49,499.46,127.3163889,36.5825,기후에너지환경부
2023-07-14 05:30,3011635,청주시(팔결교),3.34,211.89,127.4755556,36.7141667,기후에너지환경부
2023-07-14 05:30,3011665,청주시(미호강교),3.60,390.72,127.3505556,36.6230556,기후에너지환경부
2023-07-14 05:30,3011685,세종시(미호교),1.51,507.09,127.3163889,36.5825,기후에너지환경부
2023-07-14 05:40,3011635,청주시(팔결교),3.37,216.71,127.4755556,36.7141667,기후에너지환경부
2023-07-14 05:40,3011665,청주시(미호강교),3.66,402.69,127.3505556,36.6230556,기후에너지환경부
2023-07-14 05:40,3011685,세종시(미호교),1.54,518.60,127.3163889,36.5825,기후에너지환경부
2023-07-14 05:50,3011635,청주시(팔결교),3.36,215.10,127.4755556,36.7141667,기후에너지환경부
2023-07-14 05:50,3011665,청주시(미호강교),3.73,416.81,127.3505556,36.6230556,기후에너지환경부
2023-07-14 05:50,3011685,세종시(미호교),1.56,526.32,127.3163889,36.5825,기후에너지환경부
2023-07-14 06:00,3011635,청주시(팔결교),3.46,231.40,127.4755556,36.7141667,기후에너지환경부
2023-07-14 06:00,3011665,청주시(미호강교),3.78,426.98,127.3505556,36.6230556,기후에너지환경부
2023-07-14 06:00,3011685,세종시(미호교),1.61,545.80,127.3163889,36.5825,기후에너지환경부
2023-07-14 06:10,3011635,청주시(팔결교),3.47,233.06,127.4755556,36.7141667,기후에너지환경부
2023-07-14 06:10,3011665,청주시(미호강교),3.83,437.23,127.3505556,36.6230556,기후에너지환경부
2023-07-14 06:10,3011685,세종시(미호교),1.62,549.72,127.3163889,36.5825,기후에너지환경부
2023-07-14 06:20,3011635,청주시(팔결교),3.60,254.90,127.4755556,36.7141667,기후에너지환경부
2023-07-14 06:20,3011665,청주시(미호강교),3.89,449.63,127.3505556,36.6230556,기후에너지환경부
2023-07-14 06:20,3011685,세종시(미호교),1.67,569.48,127.3163889,36.5825,기후에너지환경부
2023-07-14 06:30,3011635,청주시(팔결교),3.67,266.92,127.4755556,36.7141667,기후에너지환경부
2023-07-14 06:30,3011665,청주시(미호강교),3.94,460.04,127.3505556,36.6230556,기후에너지환경부
2023-07-14 06:30,3011685,세종시(미호교),1.70,581.45,127.3163889,36.5825,기후에너지환경부
2023-07-14 06:40,3011635,청주시(팔결교),3.72,275.63,127.4755556,36.7141667,기후에너지환경부
2023-07-14 06:40,3011665,청주시(미호강교),3.98,468.43,127.3505556,36.6230556,기후에너지환경부
2023-07-14 06:40,3011685,세종시(미호교),1.70,581.45,127.3163889,36.5825,기후에너지환경부
2023-07-14 06:50,3011635,청주시(팔결교),3.78,286.20,127.4755556,36.7141667,기후에너지환경부
2023-07-14 06:50,3011665,청주시(미호강교),4.03,478.97,127.3505556,36.6230556,기후에너지환경부
2023-07-14 06:50,3011685,세종시(미호교),1.73,593.50,127.3163889,36.5825,기후에너지환경부
2023-07-14 07:00,3011635,청주시(팔결교),3.87,302.30,127.4755556,36.7141667,기후에너지환경부
2023-07-14 07:00,3011665,청주시(미호강교),4.08,489.59,127.3505556,36.6230556,기후에너지환경부
2023-07-14 07:00,3011685,세종시(미호교),1.75,601.59,127.3163889,36.5825,기후에너지환경부
2023-07-14 07:10,3011635,청주시(팔결교),3.95,316.86,127.4755556,36.7141667,기후에너지환경부
2023-07-14 07:10,3011665,청주시(미호강교),4.12,498.14,127.3505556,36.6230556,기후에너지환경부
2023-07-14 07:10,3011685,세종시(미호교),1.78,613.78,127.3163889,36.5825,기후에너지환경부
2023-07-14 07:20,3011635,청주시(팔결교),4.04,333.51,127.4755556,36.7141667,기후에너지환경부
2023-07-14 07:20,3011665,청주시(미호강교),4.16,506.74,127.3505556,36.6230556,기후에너지환경부
2023-07-14 07:20,3011685,세종시(미호교),1.82,630.17,127.3163889,36.5825,기후에너지환경부
2023-07-14 07:30,3011635,청주시(팔결교),4.15,362.43,127.4755556,36.7141667,기후에너지환경부
2023-07-14 07:30,3011665,청주시(미호강교),4.20,515.38,127.3505556,36.6230556,기후에너지환경부
2023-07-14 07:30,3011685,세종시(미호교),1.85,642.55,127.3163889,36.5825,기후에너지환경부
2023-07-14 07:40,3011635,청주시(팔결교),4.21,384.03,127.4755556,36.7141667,기후에너지환경부
2023-07-14 07:40,3011665,청주시(미호강교),4.25,526.24,127.3505556,36.6230556,기후에너지환경부
2023-07-14 07:40,3011685,세종시(미호교),1.89,659.20,127.3163889,36.5825,기후에너지환경부
2023-07-14 07:50,3011635,청주시(팔결교),4.33,428.52,127.4755556,36.7141667,기후에너지환경부
2023-07-14 07:50,3011665,청주시(미호강교),4.29,534.98,127.3505556,36.6230556,기후에너지환경부
2023-07-14 07:50,3011685,세종시(미호교),1.94,680.20,127.3163889,36.5825,기후에너지환경부
2023-07-14 08:00,3011635,청주시(팔결교),4.38,447.56,127.4755556,36.7141667,기후에너지환경부
2023-07-14 08:00,3011665,청주시(미호강교),4.34,545.97,127.3505556,36.6230556,기후에너지환경부
2023-07-14 08:00,3011685,세종시(미호교),1.96,688.67,127.3163889,36.5825,기후에너지환경부
2023-07-14 08:10,3011635,청주시(팔결교),4.47,482.54,127.4755556,36.7141667,기후에너지환경부
2023-07-14 08:10,3011665,청주시(미호강교),4.40,559.26,127.3505556,36.6230556,기후에너지환경부
2023-07-14 08:10,3011685,세종시(미호교),2.00,705.70,127.3163889,36.5825,기후에너지환경부
2023-07-14 08:20,3011635,청주시(팔결교),4.53,506.36,127.4755556,36.7141667,기후에너지환경부
2023-07-14 08:20,3011665,청주시(미호강교),4.46,572.64,127.3505556,36.6230556,기후에너지환경부
2023-07-14 08:20,3011685,세종시(미호교),2.05,727.19,127.3163889,36.5825,기후에너지환경부
2023-07-14 08:30,3011635,청주시(팔결교),4.60,534.66,127.4755556,36.7141667,기후에너지환경부
2023-07-14 08:30,3011665,청주시(미호강교),4.52,586.11,127.3505556,36.6230556,기후에너지환경부
2023-07-14 08:30,3011685,세종시(미호교),2.07,735.85,127.3163889,36.5825,기후에너지환경부
2023-07-14 08:40,3011635,청주시(팔결교),4.67,563.48,127.4755556,36.7141667,기후에너지환경부
2023-07-14 08:40,3011665,청주시(미호강교),4.58,599.69,127.3505556,36.6230556,기후에너지환경부
2023-07-14 08:40,3011685,세종시(미호교),2.11,753.27,127.3163889,36.5825,기후에너지환경부
2023-07-14 08:50,3011635,청주시(팔결교),4.73,588.61,127.4755556,36.7141667,기후에너지환경부
2023-07-14 08:50,3011665,청주시(미호강교),4.65,615.65,127.3505556,36.6230556,기후에너지환경부
2023-07-14 08:50,3011685,세종시(미호교),2.14,766.43,127.3163889,36.5825,기후에너지환경부
2023-07-14 09:00,3011635,청주시(팔결교),4.76,601.32,127.4755556,36.7141667,기후에너지환경부
2023-07-14 09:00,3011665,청주시(미호강교),4.71,629.43,127.3505556,36.6230556,기후에너지환경부
2023-07-14 09:00,3011685,세종시(미호교),2.17,779.66,127.3163889,36.5825,기후에너지환경부
2023-07-14 09:10,3011635,청주시(팔결교),4.79,614.11,127.4755556,36.7141667,기후에너지환경부
2023-07-14 09:10,3011665,청주시(미호강교),4.77,643.31,127.3505556,36.6230556,기후에너지환경부
2023-07-14 09:10,3011685,세종시(미호교),2.22,801.89,127.3163889,36.5825,기후에너지환경부
2023-07-14 09:20,3011635,청주시(팔결교),4.84,635.65,127.4755556,36.7141667,기후에너지환경부
2023-07-14 09:20,3011665,청주시(미호강교),4.83,657.29,127.3505556,36.6230556,기후에너지환경부
2023-07-14 09:20,3011685,세종시(미호교),2.24,810.84,127.3163889,36.5825,기후에너지환경부
2023-07-14 09:30,3011635,청주시(팔결교),4.89,657.45,127.4755556,36.7141667,기후에너지환경부
2023-07-14 09:30,3011665,청주시(미호강교),4.89,671.35,127.3505556,36.6230556,기후에너지환경부
2023-07-14 09:30,3011685,세종시(미호교),2.29,833.36,127.3163889,36.5825,기후에너지환경부
2023-07-14 09:40,3011635,청주시(팔결교),4.89,657.45,127.4755556,36.7141667,기후에너지환경부
